name,target type,desc,component id
Maltase-glucoamylase,SINGLE PROTEIN,Target is a single protein chain,434
Sulfonylurea receptor 2,SINGLE PROTEIN,Target is a single protein chain,294
Phosphodiesterase 5A,SINGLE PROTEIN,Target is a single protein chain,124
Voltage-gated T-type calcium channel alpha-1H subunit,SINGLE PROTEIN,Target is a single protein chain,167
Nicotinic acetylcholine receptor alpha subunit,SINGLE PROTEIN,Target is a single protein chain,198
Dihydrofolate reductase,SINGLE PROTEIN,Target is a single protein chain,396
Dihydrofolate reductase,SINGLE PROTEIN,Target is a single protein chain,103
Tyrosine-protein kinase ABL,SINGLE PROTEIN,Target is a single protein chain,173
Epidermal growth factor receptor erbB1,SINGLE PROTEIN,Target is a single protein chain,147
DNA-directed RNA polymerase beta chain,SINGLE PROTEIN,Target is a single protein chain,158
Thrombin,SINGLE PROTEIN,Target is a single protein chain,92
Plasminogen,SINGLE PROTEIN,Target is a single protein chain,93
Beta-lactamase TEM,SINGLE PROTEIN,Target is a single protein chain,405
Adenosine deaminase,SINGLE PROTEIN,Target is a single protein chain,223
Carbonic anhydrase II,SINGLE PROTEIN,Target is a single protein chain,94
Antithrombin-III,SINGLE PROTEIN,Target is a single protein chain,273
Penicillin-binding protein 1A,SINGLE PROTEIN,Target is a single protein chain,110
Estrogen receptor alpha,SINGLE PROTEIN,Target is a single protein chain,410
Neuraminidase,SINGLE PROTEIN,Target is a single protein chain,391
Influenza virus A matrix protein M2,SINGLE PROTEIN,Target is a single protein chain,392
Plasma kallikrein,SINGLE PROTEIN,Target is a single protein chain,331
HMG-CoA reductase,SINGLE PROTEIN,Target is a single protein chain,312
Glucocorticoid receptor,SINGLE PROTEIN,Target is a single protein chain,371
Human herpesvirus 1 DNA polymerase,SINGLE PROTEIN,Target is a single protein chain,188
Thymidylate synthase,SINGLE PROTEIN,Target is a single protein chain,276
Aldehyde dehydrogenase,SINGLE PROTEIN,Target is a single protein chain,254
Cytochrome P450 11A1,SINGLE PROTEIN,Target is a single protein chain,370
Tubulin beta-2 chain,SINGLE PROTEIN,Target is a single protein chain,154
Fibronectin receptor beta,SINGLE PROTEIN,Target is a single protein chain,6
Insulin receptor,SINGLE PROTEIN,Target is a single protein chain,304
Progesterone receptor,SINGLE PROTEIN,Target is a single protein chain,4847
DNA gyrase subunit B,SINGLE PROTEIN,Target is a single protein chain,123
Epoxide hydrolase 1,SINGLE PROTEIN,Target is a single protein chain,291
Tyrosine 3-hydroxylase,SINGLE PROTEIN,Target is a single protein chain,292
Thyroid peroxidase,SINGLE PROTEIN,Target is a single protein chain,139
Alcohol dehydrogenase alpha chain,SINGLE PROTEIN,Target is a single protein chain,293
Trypsin I,SINGLE PROTEIN,Target is a single protein chain,95
Beta-2 adrenergic receptor,SINGLE PROTEIN,Target is a single protein chain,213
D-alanylalanine synthetase,SINGLE PROTEIN,Target is a single protein chain,280
Penicillin-binding protein 2,SINGLE PROTEIN,Target is a single protein chain,140
Muscarinic acetylcholine receptor M2,SINGLE PROTEIN,Target is a single protein chain,364
Mineralocorticoid receptor,SINGLE PROTEIN,Target is a single protein chain,324
Integrin alpha-IIb,SINGLE PROTEIN,Target is a single protein chain,144
Beta-1 adrenergic receptor,SINGLE PROTEIN,Target is a single protein chain,185
